0,000333.SZ
1,600114.SH
2,600036.SH
3,603517.SH
4,603063.SH
5,300651.SZ
6,601398.SH
7,002384.SZ
8,600201.SH
9,002410.SZ
10,600867.SH
11,000031.SZ
12,000878.SZ
13,300015.SZ
14,600050.SH
15,600383.SH
16,300014.SZ
17,000876.SZ
18,2328.HK
19,000002.SZ
20,002241.SZ
21,300129.SZ
22,601877.SH
23,300601.SZ
24,002891.SZ
25,000661.SZ
26,002405.SZ
27,000671.SZ
28,300782.SZ
29,000968.SZ
30,601088.SH
31,000725.SZ
32,002768.SZ
33,1398.HK
34,600763.SH
35,603345.SH
36,002035.SZ
37,600426.SH
38,603501.SH
39,600519.SH
40,002311.SZ
41,600176.SH
42,002179.SZ
43,600030.SH
44,600884.SH
45,300357.SZ
46,002396.SZ
47,601012.SH
48,002572.SZ
49,601818.SH
50,019611.SH
51,300036.SZ
52,1299.HK
53,300590.SZ
54,600745.SH
55,300463.SZ
56,000166.SZ
57,601318.SH
58,300207.SZ
59,002142.SZ
60,002683.SZ
61,300383.SZ
62,000961.SZ
63,002050.SZ
64,002212.SZ
65,000568.SZ
66,000425.SZ
67,601139.SH
68,600837.SH
69,300033.SZ
70,300122.SZ
71,000895.SZ
72,600016.SH
73,1797.HK
74,600276.SH
75,002624.SZ
76,603816.SH
77,600845.SH
78,603456.SH
79,6098.HK
80,600855.SH
81,300012.SZ
82,002157.SZ
83,002705.SZ
84,601688.SH
85,0268.HK
86,601628.SH
87,002273.SZ
88,600673.SH
89,002475.SZ
90,300498.SZ
91,002123.SZ
92,601098.SH
93,018007.SH
94,300166.SZ
95,0939.HK
96,601166.SH
97,300753.SZ
98,002353.SZ
99,002332.SZ
100,300003.SZ
101,600048.SH
102,2020.HK
103,300146.SZ
104,600438.SH
105,000063.SZ
106,300144.SZ
107,600529.SH
108,600887.SH
109,002236.SZ
110,300450.SZ
111,002675.SZ
112,002044.SZ
113,000651.SZ
114,000708.SZ
115,002555.SZ
116,002271.SZ
117,002007.SZ
118,002032.SZ
119,0291.HK
120,600031.SH
